Radius = 6394.209174 km.
33.00  90.000000  90.000000  0.0000
32.00  86.345398  86.342152 -0.1948
31.00  82.697917  82.691743 -0.3705
30.00  79.064600  79.056121 -0.5087
29.00  75.452336  75.442458 -0.5927
28.00  71.867787  71.857664 -0.6074
27.00  68.317323  68.308314 -0.5406
26.00  64.806960  64.800582 -0.3827
25.00  61.342310  61.340189 -0.1273
24.00  57.928541  57.932356  0.2289
23.00  54.570342  54.581778  0.6862
22.00  51.271900  51.292603  1.2422
21.00  48.036890  48.068422  1.8919
20.00  44.868471  44.912278  2.6284
19.00  41.769289  41.826673  3.4431
18.00  38.741491  38.813591  4.3260
17.00  35.786748  35.874523  5.2665
16.00  32.906272  33.010498  6.2536
15.00  30.100851  30.222120  7.2761
14.00  27.370881  27.509601  8.3232
13.00  24.716396  24.872804  9.3845
12.00  22.137106  22.311279 10.4503
11.00  19.632434  19.824298 11.5118
10.00  17.201547  17.410897 12.5610
 9.00  14.843391  15.069904 13.5908
 8.00  12.556725  12.799978 14.5952
 7.00  10.340147  10.599632 15.5691
 6.00   8.192126   8.467265 16.5084
 5.00   6.111025   6.401184 17.4095
 4.00   4.095127   4.399627 18.2700
 3.00   2.142652   2.460785 19.0879
 2.00   0.251778   0.582813 19.8621
 1.00  -1.579345  -1.236148 20.5918
 0.00  -3.352576  -2.997961 21.2769
