LAT, LON, RGN-C, WFO-C, STN-C, TEMP-N, 0.25-N, 0.75-N, 50%-N
31.8575, -86.0108, SS, BMX, KTOI, 86.272, 82.516656, 87.680383, 5.16372700000001
34.6500, -112.4333, XX, XXX, KPRC, 69.352, 66.325564, 70.883327, 4.55776299999999
34.1800, -91.9342, SS, LZK, KPBF, 76.552, 73.540282, 78.180385, 4.640103
33.6186, -114.7142, WW, PSR, KBLH, 73.312, 70.435061, 75.411391, 4.97632999999999
36.7667, -119.7167, WW, HNX, KFAT, 69.352, 66.982846, 70.957961, 3.975115
37.7000, -121.8167, WW, MTR, KLVK, 70.252, 67.827153, 71.883550, 4.056397
39.1000, -121.5667, WW, STO, KMYV, 73.312, 70.834928, 74.667602, 3.832674
41.3167, -122.3167, WW, MFR, KMHS, 52.252, 48.895535, 54.228978, 5.333443
35.6697, -120.6283, WW, LOX, KPRB, 72.412, 69.731803, 74.157996, 4.426193
34.4333, -119.8333, WW, LOX, KSBA, 81.412, 78.361831, 82.780643, 4.418812
38.5000, -122.8167, WW, MTR, KSTS, 71.512, 68.852239, 73.150983, 4.298744
39.1333, -123.2, WW, EKA, KUKI, 65.212, 62.086520, 67.092862, 5.006342
38.3800, -121.96, WW, MTR, KVCB, 70.252, 67.950215, 71.911244, 3.961029
37.1500, -107.75, CC, GJT, KDRO, 42.352, 39.433780, 44.947162, 5.513382
40.4500, -105.0167, CC, BOU, KFNL, 43.432, 38.909001, 46.873498, 7.96449699999999
29.7333, -85.0167, SS, TAE, KAAF, 82.312, 80.047574, 83.328271, 3.280697
26.0667, -80.15, SS, MFL, KFLL, 87.352, 85.621982, 88.147416, 2.525434
27.4950, -80.3683, SS, MLB, KFPR, 85.192, 83.462672, 86.007571, 2.544899
30.3833, -84.3667, SS, TAE, KTLH, 86.092, 83.358932, 87.327666, 3.968734
31.1522, -81.3908, SS, JAX, KSSI, 83.392, 80.861192, 84.510894, 3.64970199999999
34.2667, -83.8333, SS, FFC, KGVL, 78.712, 75.425868, 80.121818, 4.69595000000001
32.1333, -81.2, SS, CHS, KSAV, 86.272, 82.497458, 88.176904, 5.679446
43.6300, -116.63, WW, BOI, KEUL, 45.412, 42.849927, 47.461724, 4.611797
44.5167, -114.2167, WW, PIH, KLLJ, 38.212, 34.708219, 40.743842, 6.035623
42.7275, -114.4531, WW, BOI, KJER, 41.092, 38.035474, 43.652968, 5.617494
39.8306, -88.8553, CC, ILX, KDEC, 58.192, 54.541707, 60.600572, 6.058865
43.0700, -92.62, CC, ARX, KCCY, 49.192, 45.516181, 51.462293, 5.946112
40.7200, -95.03, CC, OAX, KICL, 54.232, 50.388675, 56.816182, 6.427507
41.0500, -91.98, CC, DVN, KFFL, 49.912, 45.615106, 52.523093, 6.90798700000001
42.5500, -94.1833, CC, DMX, KFOD, 48.292, 44.225373, 50.631156, 6.405783
42.7800, -96.2, CC, FSD, KLRJ, 46.312, 41.807532, 49.041295, 7.233763
39.0083, -95.2117, CC, TOP, KLWC, 56.932, 53.143077, 59.212098, 6.069021
37.0500, -100.9667, CC, DDC, KLBL, 43.252, 39.331431, 46.713891, 7.38245999999999
39.1500, -96.6667, CC, TOP, KMHK, 54.952, 50.568385, 57.626386, 7.058001
37.3000, -98.5833, CC, DDC, KP28, 60.352, 56.336837, 62.765012, 6.428175
31.3833, -92.3, SS, LCH, KESF, 79.252, 76.406989, 80.776906, 4.369917
30.5333, -91.15, SS, LIX, KBTR, 83.212, 80.332932, 84.557071, 4.22413899999999
29.5667, -90.6667, XX, XXX, KHUM, 83.212, 80.431485, 84.544892, 4.11340700000001
45.6500, -68.6833, EE, CAR, KMLT, 51.352, 48.435493, 52.925735, 4.490242
43.6500, -70.3167, EE, GYX, KPWM, 57.292, 54.666047, 58.661685, 3.995638
46.7000, -68.05, EE, CAR, KPQI, 47.212, 44.289479, 49.041095, 4.751616
38.3392, -75.5042, EE, AKQ, KSBY, 66.292, 63.681540, 67.870393, 4.18885300000001
42.7167, -71.1167, EE, BOX, KLWM, 58.192, 55.214925, 59.913754, 4.698829
41.6833, -70.9667, EE, BOX, KEWB, 57.292, 54.725146, 59.026208, 4.30106199999999
41.8756, -71.0211, EE, BOX, KTAN, 60.352, 57.615590, 61.888070, 4.27248
43.3200, -84.69, CC, GRR, KAMN, 49.192, 45.715461, 51.187310, 5.471849
41.9200, -84.59, CC, IWX, KJYM, 52.252, 49.089551, 54.436851, 5.3473
46.5333, -90.1333, CC, MQT, KIWD, 46.312, 42.948747, 48.408351, 5.45960400000001
48.7167, -94.6, CC, FGF, KBDE, 44.332, 40.768027, 46.587729, 5.81970200000001
46.7000, -92.5, CC, DLH, KCOQ, 45.232, 41.829696, 47.352967, 5.523271
43.6500, -94.4167, CC, MPX, KFRM, 45.232, 41.227336, 47.602077, 6.374741
45.5000, -95.7, CC, FGF, KFSE, 45.232, 41.618304, 47.489848, 5.871544
48.7800, -96.95, CC, FGF, KHCO, 44.332, 40.700021, 46.620851, 5.92083
